Symbol,Year
JWN,2017
NSC,2017
NTRS,2017
NOC,2017
NCLH,2017
NRG,2017
NUE,2017
NVDA,2017
ORLY,2017
OXY,2017
OMC,2017
OKE,2017
ORCL,2017
PCAR,2017
PKG,2017
PH,2017
PDCO,2017
PAYX,2017
PYPL,2017
PNR,2017
PBCT,2017
PEP,2017
PKI,2017
PRGO,2017
PFE,2017
PCG,2017
PM,2017
PSX,2017
PNW,2017
PXD,2017
PNC,2017
RL,2017
PPG,2017
PPL,2017
PX,2017
PCLN,2017
PFG,2017
PG,2017
PGR,2017
PLD,2017
PRU,2017
PEG,2017
PSA,2017
PHM,2017
PVH,2017
QRVO,2017
PWR,2017
QCOM,2017
DGX,2017
RRC,2017
RJF,2017
RTN,2017
O,2017
RHT,2017
REG,2017
REGN,2017
RF,2017
RSG,2017
RMD,2017
RHI,2017
ROK,2017
COL,2017
ROP,2017
ROST,2017
RCL,2017
CRM,2017
SBAC,2017
SCG,2017
SLB,2017
SNI,2017
STX,2017
SEE,2017
SRE,2017
SHW,2017
SIG,2017
SPG,2017
SWKS,2017
SLG,2017
SNA,2017
SO,2017
LUV,2017
SPGI,2017
SWK,2017
SBUX,2017
STT,2017
SRCL,2017
SYK,2017
STI,2017
SYMC,2017
SYF,2017
SNPS,2017
SYY,2017
TROW,2017
TPR,2017
TGT,2017
TEL,2017
FTI,2017
TXN,2017
TXT,2017
TMO,2017
TIF,2017
TWX,2017
TJX,2017
TMK,2017
TSS,2017
TSCO,2017
TDG,2017
TRV,2017
TRIP,2017
FOXA,2017
FOX,2017
TSN,2017
UDR,2017
ULTA,2017
USB,2017
UA,2017
UAA,2017
UNP,2017
UAL,2017
